Timestamp,Origin,Grad,Parent,Neighbor_Addr,RSSI
2026-03-10 11:55:05,0006,2,0005,0005,-40
2026-03-10 11:55:05,0006,2,0005,0003,-42
2026-03-10 11:55:05,0006,2,0005,0004,-60
2026-03-10 11:55:05,0006,2,0005,0008,-44
2026-03-10 11:55:05,0006,2,0005,0007,-47
2026-03-10 11:55:05,0006,2,0005,0009,-60
2026-03-10 11:55:05,0008,2,0005,0005,-53
2026-03-10 11:55:05,0008,2,0005,0003,-53
2026-03-10 11:55:05,0008,2,0005,0009,-42
2026-03-10 11:55:05,0008,2,0005,0007,-44
2026-03-10 11:55:05,0008,2,0005,0006,-45
2026-03-10 11:55:05,0007,2,0003,0003,-55
2026-03-10 11:55:05,0007,2,0003,0005,-56
2026-03-10 11:55:05,0007,2,0003,0004,-60
2026-03-10 11:55:05,0007,2,0003,0006,-37
2026-03-10 11:55:05,0007,2,0003,0008,-43
2026-03-10 11:55:05,0007,2,0003,0009,-51
2026-03-10 11:55:05,0009,2,0003,0003,-59
2026-03-10 11:55:05,0009,2,0003,0005,-60
2026-03-10 11:55:05,0009,2,0003,0008,-43
2026-03-10 11:55:05,0009,2,0003,0007,-52
2026-03-10 11:55:05,0009,2,0003,0006,-60
2026-03-10 11:55:05,0003,1,0002,0002,-56
2026-03-10 11:55:05,0003,1,0002,0005,-48
2026-03-10 11:55:05,0003,1,0002,0004,-53
2026-03-10 11:55:05,0003,1,0002,0006,-44
2026-03-10 11:55:05,0003,1,0002,0008,-54
2026-03-10 11:55:05,0003,1,0002,0007,-55
2026-03-10 11:55:05,0003,1,0002,0009,-60
2026-03-10 11:55:05,0005,1,0002,0002,-59
2026-03-10 11:55:05,0005,1,0002,0004,-44
2026-03-10 11:55:05,0005,1,0002,0003,-52
2026-03-10 11:55:05,0005,1,0002,0006,-48
2026-03-10 11:55:05,0005,1,0002,0008,-51
2026-03-10 11:55:05,0005,1,0002,0007,-56
2026-03-10 11:55:05,0005,1,0002,0009,-63
2026-03-10 11:55:35,0008,2,0005,0005,-54
2026-03-10 11:55:35,0008,2,0005,0003,-56
2026-03-10 11:55:35,0008,2,0005,0007,-39
