Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
03:49:23.865,DATA,0x0003,0x0003,108,1,0,-48,,,,,,,
03:49:24.149,DATA,0x0004,0x0003,94,2,74,-49,,,,,,,
03:49:25.891,DATA,0x0003,0x0003,109,1,0,-47,,,,,,,
03:49:26.277,DATA,0x0004,0x0003,95,2,81,-53,,,,,,,
03:49:27.989,DATA,0x0003,0x0003,110,1,0,-47,,,,,,,
03:49:28.455,DATA,0x0004,0x0003,96,2,95,-49,,,,,,,
03:49:30.014,DATA,0x0003,0x0003,111,1,0,-52,,,,,,,
03:49:30.480,DATA,0x0004,0x0003,97,2,75,-51,,,,,,,
03:49:32.040,DATA,0x0003,0x0003,112,1,0,-48,,,,,,,
03:49:32.637,DATA,0x0004,0x0003,98,2,96,-53,,,,,,,
03:49:34.105,DATA,0x0003,0x0003,113,1,0,-47,,,,,,,
03:49:34.753,DATA,0x0004,0x0003,99,2,77,-53,,,,,,,
03:49:36.192,DATA,0x0003,0x0003,114,1,0,-48,,,,,,,
03:49:36.799,DATA,0x0004,0x0003,100,2,83,-53,,,,,,,
03:49:37.007,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:49:38.307,DATA,0x0003,0x0003,115,1,0,-52,,,,,,,
03:49:38.853,DATA,0x0004,0x0003,101,2,78,-51,,,,,,,
03:49:40.371,DATA,0x0003,0x0003,116,1,0,-52,,,,,,,
03:49:41.000,DATA,0x0004,0x0003,102,2,76,-52,,,,,,,
03:49:42.457,DATA,0x0003,0x0003,117,1,0,-47,,,,,,,
03:49:43.146,DATA,0x0004,0x0003,103,2,0,-53,,,,,,,
03:49:43.553,REPORT,0x0004,,102,,,,9,15,0,0,102,0,100.00
03:49:44.608,DATA,0x0003,0x0003,118,1,0,-52,,,,,,,
03:49:45.156,DATA,0x0004,0x0003,104,2,0,-51,,,,,,,
